date,atm_name,withdrawals_total,withdrawals_xyz,withdrawals_other,amount_total,amount_xyz,amount_other,weekday,festival,working_day
2011-01-29,Christ College ATM,87.0,50.0,37.0,463400.0,319200.0,144200.0,6,NH,0.0
2011-01-29,Mount Road ATM,124.0,59.0,65.0,428000.0,260700.0,167300.0,6,NH,0.0
2011-01-29,KK Nagar ATM,269.0,221.0,48.0,1082200.0,913100.0,169100.0,6,NH,0.0
2011-01-29,Airport ATM,82.0,60.0,22.0,384600.0,348400.0,36200.0,6,NH,0.0
2011-01-29,Big Street ATM,53.0,15.0,38.0,163500.0,47000.0,116500.0,6,NH,0.0
2011-01-30,Christ College ATM,75.0,27.0,48.0,277200.0,127500.0,149700.0,7,NH,0.0
2011-01-30,Mount Road ATM,137.0,53.0,84.0,296400.0,169900.0,126500.0,7,NH,0.0
2011-01-30,KK Nagar ATM,143.0,121.0,22.0,517100.0,467000.0,50100.0,7,NH,0.0
2011-01-30,Airport ATM,58.0,42.0,16.0,194400.0,173700.0,20700.0,7,NH,0.0
2011-01-30,Big Street ATM,18.0,10.0,8.0,41100.0,25800.0,15300.0,7,NH,0.0
2011-01-31,Christ College ATM,91.0,39.0,52.0,369100.0,179000.0,190100.0,1,NH,1.0
2011-01-31,Mount Road ATM,142.0,82.0,60.0,515100.0,262800.0,252300.0,1,NH,1.0
2011-01-31,KK Nagar ATM,302.0,244.0,58.0,1310300.0,1039700.0,270600.0,1,NH,1.0
2011-01-31,Airport ATM,96.0,74.0,22.0,526000.0,436700.0,89300.0,1,NH,1.0
2011-01-31,Big Street ATM,23.0,13.0,10.0,70800.0,25100.0,45700.0,1,NH,1.0
2011-02-01,Christ College ATM,80.0,24.0,56.0,300000.0,95600.0,204400.0,2,NH,0.0
2011-02-01,Mount Road ATM,194.0,50.0,144.0,529300.0,171700.0,357600.0,2,NH,0.0
2011-02-01,KK Nagar ATM,260.0,155.0,105.0,809400.0,456200.0,353200.0,2,NH,0.0
2011-02-01,Airport ATM,67.0,53.0,14.0,268600.0,213300.0,55300.0,2,NH,0.0
2011-02-01,Big Street ATM,17.0,5.0,12.0,52800.0,20900.0,31900.0,2,NH,0.0
2011-02-02,Christ College ATM,133.0,55.0,78.0,714600.0,329400.0,385200.0,3,NH,1.0
2011-02-02,Mount Road ATM,164.0,93.0,71.0,714900.0,495000.0,219900.0,3,NH,1.0
